julian_day,time,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean
103,0.583333333333333,5.88,850.3,0.838,12.75,23.59,8.9,28.91908225,-25.6532273921593
103,0.59375,6.08,758.9,0.833,13.04,22.5466666666667,8.9,28.920052,-25.650383381653
103,0.604166666666667,6.4,722.9,0.83,12.97,22,8.9,28.920052,-25.650383381653
103,0.614583333333333,6.02,581,0.838,12.69,20.49,8.9,28.9181125,-25.650383381653
103,0.625,5.7,614.8,0.851,13.19,21.5533333333333,8.9,28.9258705,-25.650383381653
103,0.635416666666667,5.11,520.9,0.867,13.1,20.5483333333333,8.9,28.9181125,-25.650383381653
103,0.645833333333333,6.5,597.1,0.868,13.47,21.0066666666667,8.9,28.91908225,-25.650383381653
103,0.65625,5.54,214.7,0.849,12.8,15.8366666666667,8.87,28.916173,-25.650383381653
103,0.666666666666667,5.15,114.3,0.854,12.73,14.0216666666667,8.8,28.9142335,-25.650383381653
103,0.677083333333333,5.72,97.5,0.851,12.7,13.2316666666667,8.8,28.91714275,-25.6392360364051
103,0.6875,5.7,117.2,0.854,12.75,13.165,8.8,28.9142335,-25.6418552782243
103,0.697916666666667,5.19,128.2,0.864,12.9,13.4283333333333,8.8,28.91326375,-25.6390138859426
103,0.708333333333333,6.21,120.3,0.857,13.03,13.1533333333333,8.8,28.91520325,-25.6420767745074
103,0.71875,6.59,119.9,0.864,13.33,13.2016666666667,8.8,28.9103545,-25.6392360364051
103,0.729166666666667,6.28,129.1,0.867,13.43,13.2533333333333,8.8,28.912294,-25.6361731478402
103,0.739583333333333,6.4,94,0.871,13.35,12.695,8.8,28.9142335,-25.6304936335713
103,0.75,5.82,125.5,0.871,13.5,12.7216666666667,8.8,28.9064755,-25.6134707754146
103,0.760416666666667,5.5,119.1,0.873,13.61,12.63,8.8,28.90938475,-25.6335565221362
103,0.770833333333333,5.85,113,0.855,13.98,12.4533333333333,8.8,28.908415,-25.6136988067186
