julian_day,time,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean,temperature_difference,cwsi,t_actual,t_potential
160,0.770833333333333,5.31,143.9,0.773,15.29,14.4466666666667,17.4,23.39926525,-28.5708050435621,0.8433333333333,0.08683307429708838,3.910039059588559,4.354641060483076
160,0.78125,4.82,205.8,0.817,15.09,14.9133333333333,17.4,23.38956775,-28.5869572732002,0.1766666666666996,0.6954404636172712,0.9633351539205709,5.482126997938879
160,0.791666666666667,5.2,217.3,0.832,15.25,14.9383333333333,17.4,23.38180975,-28.6174992722705,0.3116666666666994,0.5958602941810617,1.6884575571595684,5.742720890106679
160,0.802083333333333,5.33,114.2,0.812,14.77,13.83,17.4,23.38084,-28.6472175746121,0.9399999999999995,0.0001,4.257535093429577,3.6846390744363404
160,0.8125,4.64,143.3,0.837,14.83,13.8833333333333,17.4,23.38568875,-28.6472175746121,0.9466666666666992,0.024184569548653723,4.124130650351453,4.24502282265504
160,0.822916666666667,5.17,98.9,0.838,14.3,13.23,17.4,23.37987025,-28.6472175746121,1.0700000000000003,0.0001,4.744719478466083,3.2981455301996703
160,0.833333333333333,4.49,86.9,0.837,13.81,12.6366666666667,17.4,23.373082,-28.6511092015098,1.1733333333333,0.0001,4.811798378746284,2.964624205397991
160,0.84375,4.39,45.5,0.797,12.98,11.8416666666667,17.4,23.36435425,-28.6917556561368,1.1383333333333,0.0001,4.41773714582106,-0.3536262210001749
160,0.854166666666667,4.34,34.9,0.756,12.74,11.6116666666667,17.4,23.361445,-28.7065109646739,1.1283333333333,0.0001,4.297776677157353,-0.3136802487587712
160,0.864583333333333,4.8,14.9,0.744,12.55,11.1933333333333,17.4,23.36435425,-28.7092282246784,1.356666666666701,0.0001,5.502773102787323,-0.2343578432535772
160,0.875,5.15,2.6,0.745,11.83,10.5233333333333,17.4,23.365324,-28.7473356335013,1.3066666666667004,0.0001,5.438952454269542,-0.1849921986701757
160,0.885416666666667,4.53,0.2,0.751,11.25,10.1066666666667,17.4,23.3595055,-28.778891471214,1.1433333333333007,0.0001,4.327728359775532,-0.17500683112785395
160,0.895833333333333,4.83,0.0,0.729,11.59,10.53,17.4,23.35659625,-28.778891471214,1.0600000000000005,0.0001,4.1023669193761965,-0.17534983171318205
160,0.90625,4.58,0.0,0.722,11.63,10.3133333333333,17.4,23.35465675,-28.7633052368541,1.3166666666667002,0.0001,5.124172136938168,-0.1756849388968186
160,0.916666666666667,4.02,0.0,0.733,11.23,9.91833333333333,17.37,23.35659625,-28.7749935666971,1.311666666666671,0.0001,4.7412098116061605,-0.17501962075564073
160,0.927083333333333,3.98,0.0,0.733,10.86,9.78333333333333,17.3,23.35853575,-28.7699289951996,1.0766666666666698,0.0001,3.7370579577068055,-0.17489579075032588
160,0.9375,4.02,0.0,0.724,11.07,9.90166666666667,17.3,23.353687,-28.8315847954172,1.1683333333333294,0.0001,4.141203465015378,-0.17538534772374886
160,0.947916666666667,4.3,0.0,0.731,10.94,9.665,17.3,23.35853575,-28.8425405224271,1.2750000000000004,0.0001,4.772332226027017,-0.17502711777350438
160,0.958333333333333,3.41,0.0,0.738,10.72,9.615,17.3,23.345929,-28.848022171068,1.1050000000000004,0.0001,3.5180401545971662,-0.17459404375416043
160,0.96875,2.94,0.0,0.743,10.63,9.74,17.3,23.349808,-28.8676680141435,0.8900000000000006,0.0001,2.4434876408633515,-0.17431051525705474
160,0.979166666666667,2.77,0.0,0.726,10.87,10.09,17.3,23.345929,-28.8997702480212,0.7799999999999994,0.0001,1.9629070187044302,-0.175158510214869
160,0.989583333333333,3.23,0.0,0.712,10.93,10.0416666666667,17.3,23.34689875,-28.888065758994,0.8883333333332999,0.0001,2.5846283185371948,-0.17586276633078612
160,0.0,2.48,0.0,1.036,15.37,14.9316666666667,17.4,23.75225425,-25.9383426004481,0.4383333333332988,0.0001,0.6523012382558753,-0.16271539819856967
161,0.0104166666666667,3.28,0.0,0.736,10.29,9.17,17.3,23.34495925,-28.8997702480212,1.1199999999999992,0.0001,3.499073249403494,-0.1745297875074509
161,0.0208333333333333,3.27,0.0,0.738,10.15,9.12166666666667,17.3,23.34301975,-28.8958678532916,1.0283333333333307,0.0001,3.146616547982212,-0.17438943488917763
161,0.03125,3.52,0.0,0.741,10.12,9.39,17.3,23.34108025,-28.8997702480212,0.7299999999999986,0.0001,2.1174296254456557,-0.1742568646862505
161,0.0416666666666667,3.42,0.0,0.733,10.45,9.88166666666667,17.3,23.345929,-28.9162911015333,0.5683333333333298,0.0001,1.4456182610424708,-0.17472950000885065
161,0.0520833333333333,3.19,0.0,0.746,10.38,9.82666666666667,17.3,23.3401105,-28.9450185103909,0.553333333333331,0.0001,1.3161677015272473,-0.17410616239508264
161,0.0625,3.07,0.0,0.729,10.43,9.915,17.3,23.345929,-28.9494013606635,0.5150000000000006,0.0001,1.1351319806526456,-0.17488585240913823
161,0.0729166666666667,3.14,0.0,0.726,10.48,9.64333333333333,17.3,23.3362315,-28.9533046540561,0.8366666666666696,0.0001,2.351977138866477,-0.17504523217488177
161,0.0833333333333333,2.56,0.0,0.724,10.11,8.86333333333333,17.3,23.334292,-28.9726612632798,1.2466666666666697,0.0001,3.4372150998392152,-0.17496355044809767
161,0.09375,3.46,0.0,0.729,9.7,8.19666666666667,17.3,23.33526175,-28.9964644459027,1.5033333333333285,0.0001,5.116539682710238,-0.17463789243356395
161,0.104166666666667,4.41,0.0,0.708,9.59,8.485,17.3,23.33720125,-28.9992386039288,1.1050000000000004,0.0001,4.111551740753295,-0.17558846213403917
161,0.114583333333333,4.82,0.0,0.676,9.77,8.58666666666667,17.3,23.3362315,-29.0031418973215,1.18333333333333,0.0001,4.686719271819204,-0.17718211018275318
161,0.125,4.4,0.0,0.671,9.7,8.30666666666667,17.3,23.33332225,-29.0031418973215,1.393333333333329,0.0001,5.370739370425144,-0.17737838303239944
161,0.135416666666667,3.98,0.0,0.671,9.37,7.97,17.3,23.3362315,-29.0031418973215,1.3999999999999995,0.0001,5.106945702256105,-0.1772141577340155
161,0.145833333333333,3.61,0.0,0.683,9.07,7.68333333333333,17.3,23.33332225,-29.0070460895841,1.3866666666666703,0.0001,4.782667433040851,-0.17649359737119566
